V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51
ind	0.000123384	0.000132166	0.000147175	0.000174457	0.000229127	0.0003511	0.000629508	0.00114889	0.00222547	0.00610437	0.0123766	0.0136555	0.0132511	0.0176353	0.0276035	0.046316	0.084551	0.177624	0.400513	0.719529	0.89534	0.939017	0.946689	0.947025	0.945688	0.942643	0.931989	0.909865	0.881185	0.846035	0.793734	0.709979	0.58745	0.440118	0.301379	0.196698	0.128683	0.0874058	0.0624475	0.04673	0.0361412	0.0285233	0.0228884	0.0187351	0.015747	0.0137374	0.0124339	0.0116237	0.0111368	0.0108482
ind	0.000270119	0.000288026	0.000316294	0.000360906	0.000429264	0.000523394	0.000625545	0.000739052	0.00109429	0.00221984	0.00388541	0.00554496	0.00846221	0.0169418	0.0340493	0.0622019	0.108803	0.202423	0.400107	0.691222	0.895354	0.966184	0.983085	0.98486	0.981722	0.976828	0.965245	0.937705	0.886779	0.809132	0.705131	0.58251	0.457856	0.348064	0.261367	0.197128	0.150839	0.117793	0.0943791	0.0780365	0.066863	0.0594043	0.0545741	0.051501	0.0495602	0.0483785	0.0476627	0.0472369	0.0469877	0.0468423
ind	6.89712e-05	7.35365e-05	8.13052e-05	9.54516e-05	0.000124056	0.000188854	0.000338559	0.00061543	0.00120399	0.00348117	0.00749463	0.00962861	0.0117496	0.0188052	0.0316119	0.0520271	0.0903065	0.180128	0.392258	0.706833	0.894361	0.944273	0.953348	0.953705	0.951943	0.948155	0.934703	0.907203	0.874224	0.837872	0.788102	0.71334	0.609209	0.485802	0.364847	0.264574	0.190476	0.138817	0.103444	0.0792664	0.0627693	0.0516361	0.0443151	0.0395906	0.0365736	0.0347232	0.0335974	0.0329262	0.0325331	0.0323036
ind	0.000288414	0.000306528	0.000336746	0.000389635	0.000488575	0.00068277	0.00103449	0.00149803	0.00229442	0.00497802	0.00867206	0.00950239	0.0100152	0.0148927	0.0260725	0.0481926	0.091631	0.18731	0.398291	0.70258	0.89571	0.954722	0.967115	0.967555	0.964881	0.959309	0.939761	0.894126	0.82364	0.731109	0.612676	0.473906	0.337176	0.22585	0.147815	0.097608	0.0662957	0.0466926	0.0341983	0.0261104	0.0208403	0.0174205	0.0152409	0.0138665	0.0130028	0.0124786	0.0121618	0.0119737	0.0118638	0.0117997
ind	0.000328756	0.000349317	0.000383637	0.000443998	0.000558348	0.00078787	0.00121557	0.00179628	0.00286467	0.00660027	0.0116924	0.0131645	0.0142997	0.0209307	0.0336317	0.0543744	0.0928849	0.180759	0.383278	0.690091	0.891788	0.953521	0.966296	0.966843	0.96411	0.958686	0.93948	0.894857	0.828534	0.744536	0.637156	0.507517	0.373557	0.258622	0.174167	0.117738	0.0814977	0.058267	0.0431574	0.0332013	0.0266152	0.0222895	0.0195078	0.0177427	0.0166288	0.015951	0.0155406	0.0152967	0.0151541	0.015071
ind	2.23095e-05	2.39209e-05	2.65524e-05	3.09499e-05	3.84042e-05	5.06273e-05	6.78517e-05	8.95339e-05	0.000146888	0.000362001	0.000841164	0.00172077	0.00395742	0.0110896	0.0271852	0.0548485	0.101483	0.197121	0.402672	0.70024	0.894866	0.956454	0.96996	0.971075	0.968506	0.964346	0.952768	0.924959	0.876366	0.806321	0.713185	0.599277	0.477328	0.365165	0.274381	0.206516	0.157459	0.122137	0.0966084	0.0782641	0.0653142	0.0564152	0.0505187	0.0467051	0.0442696	0.0427762	0.0418679	0.0413264	0.0410092	0.0408239
ind	0.000512894	0.000544993	0.00059662	0.000681244	0.000821071	0.00104059	0.00131856	0.00157944	0.00218958	0.0043154	0.00737296	0.00947837	0.0124019	0.0213793	0.0382343	0.0646617	0.109316	0.202353	0.400964	0.691356	0.892903	0.962725	0.979225	0.98026	0.976448	0.969871	0.950065	0.900615	0.812374	0.688801	0.542306	0.395875	0.273635	0.185546	0.127419	0.0901832	0.0660455	0.049856	0.0386138	0.0306681	0.0250714	0.0212082	0.0186328	0.016958	0.015884	0.0152237	0.0148214	0.0145814	0.0144407	0.0143585
ind	5.15681e-05	5.55879e-05	6.2223e-05	7.34393e-05	9.28399e-05	0.000125985	0.000176755	0.000248067	0.000431277	0.00110485	0.00254155	0.00452377	0.00804847	0.0170013	0.0325758	0.0557294	0.096818	0.190212	0.403839	0.712386	0.898849	0.951757	0.962419	0.963352	0.96162	0.958623	0.950165	0.929964	0.894174	0.8398	0.760212	0.650075	0.516903	0.383135	0.271018	0.188744	0.132691	0.0955462	0.0709992	0.0547444	0.0440011	0.0369678	0.0324606	0.0296087	0.0278128	0.0267213	0.026061	0.0256686	0.0254392	0.0253054
ind	2.94983e-05	3.17053e-05	3.53917e-05	4.17732e-05	5.33572e-05	7.49756e-05	0.000112548	0.000168175	0.000296922	0.000803361	0.00205753	0.00401674	0.00761621	0.0164266	0.0313173	0.0533496	0.0932773	0.185625	0.399691	0.712808	0.903484	0.957599	0.968387	0.969174	0.967463	0.964152	0.953447	0.927991	0.884799	0.820947	0.727498	0.598669	0.447851	0.306243	0.198109	0.126485	0.0822813	0.0554518	0.0389582	0.0286069	0.022004	0.0177711	0.015089	0.0134018	0.0123424	0.0116996	0.0113112	0.0110805	0.0109457	0.0108671
ind	8.25158e-05	8.90175e-05	9.98535e-05	0.000118494	0.000151833	0.000212256	0.000312906	0.000459342	0.000806741	0.00205717	0.00446053	0.00671707	0.00966108	0.017443	0.0310812	0.052248	0.091584	0.183928	0.400653	0.715861	0.901358	0.951657	0.961367	0.962151	0.96064	0.957883	0.949606	0.93024	0.897657	0.850048	0.780166	0.679678	0.55105	0.414034	0.29385	0.2034	0.141335	0.100371	0.0735178	0.0558601	0.044235	0.0366331	0.0317595	0.028673	0.0267275	0.0255445	0.0248284	0.0244029	0.0241541	0.0240089
ind	0.000125688	0.000135143	0.000151019	0.000178928	0.000230959	0.000331778	0.000513414	0.000778588	0.00135489	0.00337806	0.00658457	0.00832686	0.0101985	0.0168427	0.0301655	0.053037	0.0949467	0.188622	0.401594	0.709701	0.895211	0.946959	0.957029	0.957668	0.955851	0.952561	0.942112	0.918456	0.88279	0.836736	0.774409	0.68837	0.579499	0.461563	0.353846	0.268367	0.206279	0.16261	0.131355	0.107822	0.0890517	0.0736347	0.0612439	0.0517256	0.0447665	0.0400675	0.0370209	0.0351303	0.0339955	0.0333235
ind	0.000149997	0.000161675	0.000181246	0.000215252	0.000277293	0.000393849	0.000598244	0.000903059	0.00159263	0.00405515	0.00854884	0.0117572	0.0147154	0.0226664	0.0351229	0.0540884	0.0913202	0.181711	0.396979	0.713587	0.90121	0.952085	0.961844	0.962593	0.961108	0.958265	0.949249	0.92804	0.89256	0.84047	0.762837	0.650408	0.508693	0.364145	0.245373	0.16231	0.109057	0.0757247	0.0545479	0.040706	0.0314461	0.0252149	0.0210943	0.0184142	0.0166906	0.0156277	0.0149787	0.0145909	0.0143634	0.0142304
ind	3.3875e-05	3.64766e-05	4.09304e-05	4.90039e-05	6.49885e-05	9.97762e-05	0.00017654	0.000320646	0.000656424	0.00201136	0.00507864	0.00809643	0.0117024	0.019833	0.0320151	0.050369	0.0870734	0.178434	0.399999	0.720037	0.897365	0.941451	0.949225	0.949657	0.948395	0.945709	0.936651	0.91749	0.891558	0.859127	0.810987	0.733378	0.616975	0.471199	0.327379	0.214539	0.139517	0.0937464	0.0663695	0.0495304	0.0384819	0.0306146	0.02467	0.0200665	0.0165467	0.0140419	0.0123441	0.0112558	0.0105886	0.0101882
ind	4.60836e-05	4.92277e-05	5.43288e-05	6.27612e-05	7.68214e-05	9.92519e-05	0.00012918	0.000163024	0.000250013	0.000572818	0.00124574	0.00234754	0.00488019	0.0124878	0.0286923	0.0556466	0.101303	0.196227	0.400409	0.695516	0.890964	0.954665	0.969072	0.970171	0.967221	0.962281	0.948004	0.912589	0.848203	0.75315	0.62936	0.488782	0.3544	0.245716	0.168035	0.116171	0.0824056	0.0604406	0.0460638	0.0366373	0.0304826	0.0265039	0.0239822	0.0224	0.0214096	0.02081	0.020448	0.0202333	0.0201078	0.0200346
ind	1.06479e-05	1.14202e-05	1.27647e-05	1.529e-05	2.05905e-05	3.31272e-05	6.33841e-05	0.000123357	0.0002807	0.000980126	0.00244061	0.0044034	0.00854719	0.0192763	0.0379081	0.0639574	0.105894	0.193828	0.387111	0.680333	0.881149	0.943796	0.956432	0.957219	0.954777	0.950497	0.935584	0.905285	0.871974	0.840215	0.80042	0.741987	0.659669	0.557568	0.449159	0.349649	0.268036	0.205783	0.160266	0.127938	0.105532	0.0903929	0.0804905	0.0741425	0.0701118	0.06765	0.0661562	0.0652672	0.064747	0.0644435
ind	6.26684e-05	6.73314e-05	7.50259e-05	8.80641e-05	0.000110817	0.000150456	0.000212686	0.000297321	0.000495282	0.00121994	0.00275749	0.0046659	0.00777225	0.0159505	0.0311215	0.054886	0.0970578	0.191398	0.405109	0.714356	0.904434	0.959678	0.971008	0.971941	0.970199	0.967011	0.957304	0.934316	0.894459	0.834721	0.747955	0.629722	0.490874	0.356831	0.249054	0.172681	0.121822	0.0883651	0.066041	0.0508897	0.0405383	0.0335276	0.0289021	0.02591	0.0239962	0.0228212	0.0221058	0.0216791	0.021429	0.021283
ind	5.70773e-05	6.06828e-05	6.66048e-05	7.67185e-05	9.49001e-05	0.000128499	0.000184854	0.000257474	0.000405147	0.000991733	0.00237696	0.00449166	0.0084813	0.0183283	0.0347376	0.0581426	0.0988762	0.19008	0.396406	0.701356	0.899091	0.960188	0.973137	0.973786	0.971275	0.966252	0.949188	0.908919	0.843958	0.75523	0.638858	0.499622	0.359407	0.242908	0.159918	0.105915	0.0720007	0.0507085	0.0371534	0.0284183	0.0227626	0.0191166	0.0168058	0.0153548	0.0144457	0.013895	0.0135626	0.0133653	0.0132501	0.0131829
