V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51
ind	1.39542e-08	1.49766e-08	1.67362e-08	1.99719e-08	2.65949e-08	4.20799e-08	8.23066e-08	1.97046e-07	8.60882e-07	1.13076e-05	9.25059e-05	0.00018438	0.000213471	0.000301731	0.000487742	0.000844293	0.0016134	0.00377884	0.0117589	0.0469502	0.186686	0.440987	0.469227	0.173567	0.043142	0.0173627	0.00696765	0.00326146	0.00202781	0.00146321	0.0010721	0.00075778	0.000519231	0.000353981	0.000246677	0.000179181	0.000137161	0.000110972	9.45672e-05	8.42664e-05	7.77898e-05	7.37251e-05	7.12034e-05	6.96431e-05	6.8675e-05	6.80918e-05	6.77406e-05	6.75324e-05	6.74107e-05	6.73396e-05
ind	4.29159e-08	4.59759e-08	5.09107e-08	5.89882e-08	7.22953e-08	9.39804e-08	1.30783e-07	2.27257e-07	8.08307e-07	6.11132e-06	3.05916e-05	7.02844e-05	0.00012719	0.000273519	0.000576259	0.00110471	0.00205354	0.00428215	0.0111905	0.0362283	0.121124	0.287243	0.340224	0.160046	0.0453785	0.0194235	0.0104274	0.00564854	0.00330129	0.00214789	0.00151839	0.00113916	0.000898434	0.000742421	0.000640558	0.000573797	0.000530012	0.000501327	0.000482551	0.000470351	0.00046247	0.000457415	0.000454219	0.000452209	0.000450945	0.00045017	0.000449695	0.000449407	0.000449235	0.000449133
ind	9.15866e-09	9.78234e-09	1.08509e-08	1.28176e-08	1.68729e-08	2.64686e-08	5.15591e-08	1.22336e-07	5.43893e-07	7.61893e-06	6.22709e-05	0.000134988	0.000191177	0.000322388	0.000559149	0.000949803	0.00172718	0.00383475	0.011338	0.0435496	0.17294	0.429581	0.483031	0.184163	0.0440328	0.017582	0.00697265	0.00329124	0.00213641	0.00164708	0.00131092	0.00102214	0.00078429	0.000606479	0.000482992	0.00040069	0.000346941	0.000312137	0.000289659	0.000275224	0.000265994	0.000260125	0.00025645	0.000254158	0.000252728	0.000251862	0.000251338	0.000251026	0.000250842	0.000250735
ind	5.87363e-08	6.25456e-08	6.895e-08	8.03001e-08	1.02029e-07	1.46933e-07	2.4102e-07	4.43662e-07	1.37204e-06	1.14476e-05	6.61241e-05	0.000121213	0.000149916	0.0002361	0.000427307	0.000818218	0.00163915	0.00374883	0.0107434	0.0380252	0.136453	0.325527	0.35303	0.134018	0.0388448	0.0175905	0.00755441	0.00339602	0.00189358	0.00122723	0.000845149	0.000597605	0.000435088	0.000330218	0.00026344	0.000221038	0.000194054	0.000176819	0.000165775	0.000158713	0.000154209	0.00015135	0.000149562	0.000148448	0.000147753	0.000147332	0.000147077	0.000146925	0.000146835	0.000146783
ind	6.80926e-08	7.24886e-08	7.98833e-08	9.30507e-08	1.1857e-07	1.72475e-07	2.88769e-07	5.49305e-07	1.85459e-06	1.75515e-05	0.000102089	0.000184637	0.000230606	0.000355216	0.000589057	0.000983843	0.00176185	0.00380542	0.0107249	0.0383336	0.141866	0.352558	0.404821	0.160869	0.0434522	0.0189378	0.00795046	0.00355584	0.00202411	0.00135457	0.000962406	0.000698016	0.00051786	0.000398286	0.000320624	0.000270637	0.000238535	0.000217904	0.000204626	0.000196112	0.00019067	0.000187212	0.000185047	0.000183696	0.000182854	0.000182343	0.000182034	0.000181849	0.000181741	0.000181677
ind	3.16091e-09	3.40143e-09	3.79998e-09	4.48244e-09	5.69518e-09	7.90735e-09	1.20496e-08	2.25083e-08	8.71997e-08	8.59625e-07	6.22705e-06	2.10584e-05	5.74497e-05	0.000172264	0.000441329	0.000932513	0.0018325	0.0040017	0.010996	0.0377255	0.133094	0.320226	0.368989	0.160349	0.0434939	0.0188244	0.00949589	0.00484153	0.00281319	0.00187351	0.00135351	0.0010232	0.000802014	0.00065313	0.000553725	0.000487804	0.000444329	0.000415781	0.000397084	0.000384938	0.000377099	0.000372075	0.000368907	0.000366918	0.00036567	0.000364908	0.000364443	0.000364163	0.000363997	0.000363898
ind	1.11628e-07	1.18956e-07	1.30897e-07	1.50892e-07	1.85321e-07	2.44765e-07	3.43762e-07	5.47459e-07	1.58881e-06	1.10651e-05	5.4997e-05	0.000113526	0.000174443	0.000321161	0.000599844	0.0010604	0.00189997	0.00394223	0.0103714	0.0337842	0.113371	0.268856	0.306403	0.130896	0.0394404	0.0184577	0.00912356	0.00437027	0.00235378	0.00144516	0.000965882	0.000683148	0.000508059	0.000397686	0.000327517	0.000282584	0.000253664	0.000234996	0.00022293	0.000215163	0.000210186	0.000207015	0.000205025	0.000203782	0.000203004	0.000202532	0.000202244	0.000202072	0.00020197	0.00020191
ind	5.25884e-09	5.69043e-09	6.4132e-09	7.66589e-09	9.93913e-09	1.42573e-08	2.29429e-08	4.65326e-08	1.99044e-07	2.18052e-06	1.70659e-05	5.3335e-05	0.000115399	0.000263282	0.000527695	0.000939808	0.00171699	0.0037586	0.0107939	0.0393099	0.144962	0.345635	0.383112	0.157954	0.0401449	0.0161821	0.00766598	0.00373271	0.00208125	0.00132142	0.000900593	0.000636489	0.00046478	0.000353742	0.000282675	0.000237335	0.000208378	0.000189832	0.000177917	0.000170281	0.000165402	0.000162298	0.000160352	0.000159136	0.000158375	0.000157913	0.000157632	0.000157463	0.000157364	0.000157305
ind	3.67703e-09	3.96324e-09	4.44636e-09	5.29779e-09	6.89659e-09	1.01108e-08	1.69086e-08	3.42993e-08	1.36219e-07	1.53161e-06	1.38456e-05	4.8405e-05	0.000111884	0.000260239	0.000517704	0.000915263	0.00167719	0.00370266	0.0107136	0.0391666	0.144337	0.340794	0.363072	0.13895	0.0374033	0.0160308	0.0072319	0.0033386	0.0018126	0.00111991	0.000730203	0.000485638	0.000330666	0.000234438	0.000175527	0.000139468	0.00011723	0.000103378	9.46674e-05	8.91725e-05	8.57011e-05	8.35126e-05	8.21492e-05	8.13021e-05	8.07748e-05	8.04557e-05	8.02626e-05	8.01476e-05	8.00799e-05	8.00401e-05
ind	8.21164e-09	8.88847e-09	1.00307e-08	1.20379e-08	1.57769e-08	2.31881e-08	3.87694e-08	8.05707e-08	3.4247e-07	3.84215e-06	2.98605e-05	8.08874e-05	0.000142142	0.000276987	0.000515009	0.000898705	0.00165187	0.00368612	0.0108802	0.0409161	0.154691	0.367497	0.399176	0.158995	0.0403065	0.0163937	0.00754201	0.00361618	0.00204182	0.00132302	0.00091311	0.000645438	0.000466388	0.000349041	0.000273735	0.000225837	0.000195405	0.000176018	0.00016362	0.000155705	0.000150661	0.00014746	0.000145456	0.000144206	0.000143426	0.000142952	0.000142665	0.000142493	0.000142391	0.000142332
