K_dl	K_zld	K_cic	K_sna	K_vnd	a_dl	a_zld	a_cic	a_sna	a_vnd	q_btm	w_dl.zld	Beta	Cic_att
0.211297	2.32165	5.26396	7702.36	0.346714	4.58187	4.38548	6.41502e-05	0.499096	0.000253072	0.00164263	97.1089	2.0431	7.16903
3.37027	1.36369	3.92287	525.326	2.62699	4.64067	3.37223	0.00813633	0.167387	0.00427805	0.00147737	99.8621	3.82819	5.70472
0.702048	0.644479	4.21868	5061.21	0.743028	4.5818	4.27157	0.0580647	0.494694	0.019948	0.00304273	78.0849	3.86967	7.50557
0.586908	0.210657	6.97931	2227.32	0.136816	2.58281	3.80536	0.0376606	0.367546	0.0857405	0.00714925	26.2756	20.2943	9.87966
0.135563	0.224091	6.10277	1006.21	0.0669191	5.54344	3.14842	0.00105575	0.0737788	0.000272219	0.00912816	15.3027	24.9969	9.03015
0.529653	5.45072	5.50033	1608.98	1.00913	1.26315	2.79117	2.01538e-05	0.482499	0.00623673	0.0053424	67.8726	3.5836	6.30441
0.567331	0.689253	4.45258	701.132	1.4432	3.89582	2.13058	1.16683e-05	0.336586	0.000138558	0.00905342	52.6137	15.6363	7.43279
0.941761	1.06976	5.36578	262.976	1.32479	1.42196	2.79318	0.0216869	0.0749323	0.000521281	0.0062906	51.6038	10.2128	6.87847
0.168625	2.38544	8.10077	330.458	3.188	1.51539	4.50685	0.000699479	0.159829	0.00109485	0.00996941	98.4373	1.72807	5.2381
0.446963	2.64911	5.91172	7221.66	0.794986	2.16895	3.73202	0.000703266	0.516891	0.0904992	0.00621727	84.7988	1.8194	6.05775
0.0528084	0.354005	5.5876	4510.12	0.0502709	4.42413	4.42516	0.00424782	0.51619	0.00168454	0.00394386	98.8358	14.0578	8.684
0.0540274	0.294526	5.13065	404.918	1.2234	6.61405	3.26449	0.00411119	0.170279	0.0132211	0.00999907	47.4485	22.1638	6.73206
1.53342	0.570238	5.48495	5241.76	0.0166092	2.06859	2.67833	0.00929234	0.524176	0.000905661	0.00999291	99.722	6.05421	9.42584
0.558675	0.0645752	6.83413	948.597	0.375364	1.3624	7.47215	0.074924	0.161084	0.0593333	0.00986482	32.2859	24.6716	8.66734
4.85542	0.355314	4.7996	1746.06	1.83189	1.71819	2.34419	0.00223653	0.411838	0.496402	0.00504038	99.4333	24.9742	8.04094
0.0508718	0.426338	5.65672	973.844	0.485515	1.94736	4.89539	0.000955885	0.171487	0.482736	0.00150187	51.8718	24.6022	8.20485
5.4268	0.468471	6.0355	1192.08	0.584658	2.57444	5.29198	0.0242401	0.0601971	0.34515	0.00170843	4.30721	8.98478	9.81092
0.470435	2.06868	9.73735	4063.68	0.791284	4.34786	4.05938	0.225173	0.479618	0.181584	0.000942202	98.0514	3.065	9.50542
0.0121518	0.360138	6.56833	3207.74	0.16732	2.09846	4.46472	0.0802279	0.558556	0.228956	0.00321748	42.5578	21.5564	7.89203
0.0905086	0.922132	8.444	1404.83	0.650085	1.05153	4.63785	0.134841	0.460082	0.00021491	0.00264019	96.8834	5.83494	7.8567
3.79374	7.0203	5.22441	415.385	0.683479	1.04509	2.20427	0.00285955	0.0815458	0.00767922	0.00129293	99.4485	24.9557	7.19497
0.256543	0.924949	7.85369	1905.56	457.276	2.81561	4.0043	0.0569748	0.0400109	0.989997	0.00301068	97.5927	4.64759	10.135
0.138398	2.09478	5.31838	3070.58	0.430876	2.43668	1.70982	0.00236776	0.537124	0.310748	0.00863446	32.5859	21.1531	7.74128
0.847484	7.32735	4.44443	481.558	2.54697	4.76623	1.41658	0.00518032	0.0966971	0.277686	0.00752167	27.5777	19.5646	7.26976
0.0483834	0.453873	5.20596	3635.52	0.0864237	4.2366	3.23081	0.00165118	0.572672	0.0136382	0.00771329	1.05527	15.7927	7.38715
0.141438	0.355337	4.94869	249.569	1.75951	3.70382	4.38421	0.001777	0.0202502	0.00653784	0.00568574	98.939	12.2715	6.92662
0.0145577	1.16803	6.17017	1623.08	2.53978	9.90357	3.94286	0.00973117	0.337894	0.426505	0.00869809	77.0512	3.09485	6.59496
0.0986586	11.8764	4.84923	428.153	1.90259	5.2256	2.14197	1.81813e-05	0.158803	0.0400823	0.00506184	96.4895	5.45936	6.53852
0.254161	2.4702	4.22814	317.26	3.09384	5.44549	1.99598	0.00315821	0.0267976	0.207286	0.00671072	82.2286	10.5732	6.31588
9.67609	0.123929	3.79987	3131.43	1.12069	2.63101	5.34188	0.0108235	0.417754	0.0111829	0.00827266	75.9202	4.09038	7.9402
1.44569	2.67694	6.04309	3880.68	2.28418	3.60395	4.70611	0.000110564	0.43384	0.00760839	0.002502	60.0498	1.53745	4.96737
5.54841	0.358655	3.31832	1838.07	3.87328	2.03715	4.45502	0.000359187	0.375889	0.396024	0.00367024	97.2646	7.24336	5.16915
3.59238	0.0164073	13.356	2791.14	1.17182	5.59617	6.04145	0.102627	0.403985	0.0197927	0.00747903	99.5399	22.6633	15.2631
8.72976	1.51355	4.30521	1102.9	1.29947	3.40095	2.85381	0.00919493	0.316156	0.00622017	0.00149754	17.4474	7.74147	7.86626
0.607959	4.77425	5.80398	344.17	1.85496	3.5394	3.04997	0.0727858	0.082589	0.0014586	0.00229456	44.2616	3.74376	6.68176
3.52094	0.21173	4.56346	447.539	1.89413	3.68885	4.43786	0.110322	0.180903	9.95779e-05	0.00108753	87.5424	23.5227	8.20213
1.60274	0.471351	5.69028	1785.36	0.787143	3.09148	2.31048	0.0519064	0.409574	0.0832839	0.00298582	99.9754	24.6357	9.86058
7.75537	0.0817125	4.8671	618.082	1.99627	3.94602	4.11351	0.221778	0.146452	2.67533e-05	0.00207948	99.2026	24.7665	8.68459
8.27491	3.79321	3.91769	288.585	2.86663	4.56015	2.05819	0.038259	0.00372795	1.29896e-05	0.00412623	25.882	5.41808	5.27007
0.748014	8.53948	5.09698	303.381	1.19655	2.8904	1.58215	0.0103704	0.00309544	0.00972333	0.00724349	7.31005	21.548	6.77592
