V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
6647.78	1797.5	8288.8	15.8383	355.664	3.74881	7.72662	0.0791556	0.363068	0.000999294	0.00130477	22.7048	0.948497	13.502	0.03305	0.020063	1
3033.19	1665.73	2949.36	21.9715	271.203	3.87297	7.29106	0.101842	0.0407805	0.000983305	0.0012288	1.34372	0.979305	12.1568	0.024659	0.013588	1
8276.28	473.168	9805	13.3412	246.905	3.79891	5.59752	0.110644	0.0860743	0.000810181	0.00192177	3.03855	0.962887	13.8049	0.027783	0.017862	1
8409.21	8481.3	6227.57	11.8796	377.421	3.972	7.44839	0.0785251	0.130189	0.00105369	0.00122617	2.87218	0.96077	12.7833	0.027876	0.01848	1
9821.19	8973.81	5960.11	7.51065	336.327	3.91688	7.08146	0.0886873	0.00400239	0.00104955	0.00110557	0.990967	0.975146	12.6675	0.025279	0.017498	1
9971.7	7357.38	6174.23	13.8162	382.808	3.90051	7.54487	0.0733836	0.161447	0.00107975	0.00125508	3.71535	0.958617	12.6226	0.028977	0.019188	1
5196.41	2051.3	7270.57	49.0308	323	3.91487	7.01657	0.0882583	0.254053	0.00086302	0.00140155	13.8297	0.961399	13.161	0.028124	0.018889	1
9858.19	7760.81	9954.77	6.8411	382.37	3.91228	7.54524	0.0850013	0.0113305	0.00113291	0.00115871	2.98696	0.961976	13.4882	0.028982	0.019731	1
6343.47	8045.16	3936.1	19.5223	334.555	3.94593	7.28136	0.0864266	0.110613	0.00116597	0.00116044	1.23692	0.973664	12.2208	0.024461	0.015893	1
8718.06	1011.89	5266.04	10.1711	307.699	3.94701	6.6844	0.091896	0.00235044	0.000946741	0.0012714	1.00106	0.970726	12.6052	0.025032	0.016765	1
7429.98	6353.69	4856.26	8.02652	379.877	3.91017	7.68222	0.0764045	0.1833	0.000972211	0.00138811	2.06556	0.95873	12.4743	0.028957	0.018029	1
3848.49	9165.87	4023.54	13.4409	342.111	3.96214	7.22138	0.0853777	0.0372398	0.00114762	0.00169924	5.51595	0.975758	12.2259	0.025355	0.015863	1
6074.63	3768.78	7823.67	22.5256	263.15	3.98938	5.89311	0.120631	0.155387	0.000851963	0.00151109	1.15629	0.979045	13.3994	0.024992	0.015957	1
3794.44	1425.52	9943.66	17.0465	311.27	4.12428	6.73662	0.113585	0.155817	0.0015871	0.00105753	7.54932	0.970553	14.0472	0.026446	0.016176	2
9772.44	7518.25	5564.04	8.5009	304.743	3.91078	6.67864	0.0915694	0.0107796	0.00100678	0.0010063	1.10903	0.971823	12.632	0.025621	0.017023	1
1961.07	7208.34	7921.55	20.2949	268.978	3.80845	6.76637	0.11258	0.0529975	0.00075842	0.00254316	12.4501	0.9715	13.7229	0.027346	0.016292	1
4355.8	1853.75	5101.95	34.5972	261.898	4.05802	6.39089	0.120751	0.204731	0.00112268	0.00109551	0.99122	0.992538	12.8359	0.022137	0.013953	1
3495.78	7318.93	2930.53	20.4164	322.587	3.99465	7.19757	0.0913349	0.133776	0.00117584	0.00175785	1.57242	0.97844	11.9646	0.025536	0.014555	1
9012.52	1065	8468.2	5.74422	348.398	3.91293	7.15979	0.081153	0.355716	0.000908124	0.00119184	8.7002	0.957371	13.3464	0.03025	0.019883	1
7295.09	9347.09	4505.92	7.77896	318.454	3.85623	6.96833	0.0881434	0.0236875	0.00104201	0.00130019	1.27632	0.9683	12.4598	0.025786	0.016428	1
9516.71	1412.5	5896.55	16.1826	329.916	3.99222	6.8385	0.0881535	0.160937	0.000963718	0.00118934	1.28945	0.968699	12.6625	0.026373	0.017716	1
8412.92	674.165	5162.58	11.2071	267.197	3.89346	6.38755	0.100393	0.332296	0.000793445	0.00101497	1.15478	0.976602	12.5248	0.026552	0.016766	1
