K_dl	K_zld	K_cic	K_sna	K_vnd	a_dl	a_zld	a_cic	a_sna	a_vnd	q_btm	w_dl.zld	Cic_att	V14
0.150455619904518	0.183582697113962	0.448865643979229	0.733290199376368	0.346900820304017	0.0598455555555556	0.94801	0.177128661343141	0.528336060370241	0.513471157427924	0.640530130875765	0.516060606060606	0.1927396875	2
0.0534611922246916	0.383640950460885	0.492053516077307	0.807763774665281	0.420291206384771	0.130727777777778	0.50039	0.401781324885126	0.90686945272146	0.491144037093324	0.970161773401531	0.557981818181818	0.151995625	5
0.043717716795049	0.238467811153318	0.458483989913774	0.738022195587328	0.330763402589406	0.995473333333333	0.271753333333333	0.710511256532526	0.677717564400431	0.420610149487191	0.999946578493236	0.0394366666666667	0.2065740625	2
0.380852673288718	0.206597040279174	0.421744987866433	0.739243952324546	0.402136934890701	0.450238888888889	0.778524444444444	0.735032806248156	0.66314076249643	0.471790164219404	0.0725697088738295	0.349923232323232	0.200716875	2
0.436876738527535	0.343158265905078	0.445463363404174	0.766026730447717	0.402622116512593	0.423444444444444	0.482103333333333	0.406956162785254	0.850660814948855	0.0701526874124172	0.0443319705511587	0.057960202020202	0.196919375	2
0.474305849070014	0.312852876854143	0.443096968155029	0.775160635398897	0.358160564809493	0.172631111111111	0.386466666666667	0.624824516462742	0.711774819751816	0.475769663193564	0.0343316073516804	0.21220303030303	0.240514375	2
0.481223968539758	0.37564231803042	0.450635369842475	0.898714220227957	0.249333201095104	0	0.179407777777778	0.173858667645035	0.94805026758155	0.350281227927726	0.309044326476073	0.00408212121212121	0.2213503125	6
0.0602341379036105	0.348752270233962	0.451605616647545	0.876852550430996	0.283931328841379	0.0343044444444444	0.289907777777778	0.109960972489035	0.944429177932287	0.30041492496899	0.110118127010328	0.309071717171717	0.215255	5
0.360703658798303	0.278691908069378	0.432882267822325	0.750593877599659	0.382176241142824	0.310428888888889	0.293701111111111	0.608576504115747	0.836907056763775	0.60251683278283	0.295479132678017	0.561968686868687	0.2209975	2
0.26399693539059	0.330343847287872	0.456639940336772	0.84884989118064	0.347313117027716	0.152527777777778	0.511544444444444	0.595559440107735	0.912507580796267	0.599888227574171	0.161020427601054	0.999968686868687	0.23459625	1
